"X..i..","source"
"Such an inspiration!","VS"
"💄BEAUTIFUL Adriana 👄","VS"
"Adriana LINDA Lima orgulho do Brasil, Go Adri Go.","VS"
"Queen","VS"
"Adrianna is my favorite","VS"
"Adriana should be give a 5 year contract","VS"
"I Wanna be a supermodel like her, be in the VSFS and be an angel, she's an inspiration. To Adriana, thanks, wow you're awesome I love you so much, don't forget me guys cuz I'm all the way up, I'm Isabella and I'm gonna be an angel of VS woooooo","VS"
"VS is Adriana, Adriana is VS","VS"
"Adriana Lima is what WAS what IS and will always BE the an inspiration to all of us. VICTORIA SECRET if u guys could hire her underage you MUST hire her even when shes OVER age because i see her so High. Like if life is possible for her and has no limits to its ends, i have hope for an average person","VS"
"lol they made this so dramatic","VS"
"number one vsfs angel and the most beautiful women and queen 👑🔱","VS"
"She made me cry, she is really an inspiration. Her determination shows a hard and strong woman!","VS"
"The way she bites her lip gives me goose bumps every time, and i don't even like girlsXD <3","VS"
"She has such a beautiful face! Exotic beauty!!","VS"
"SHE IS MY QUEEN.","VS"
"to me she will always be a Victoria Secret's Angel no matter what","VS"
"Why don't they give her the best outfit then","VS"
"this is one of the most inspirational video ever","VS"
"Hoping she open the show this year!! She's the best!!","VS"
"Queen Adri👸👸","VS"
"like","VS"
"THE MOTHERFUCKING QUEEN","VS"
"Honestly once she leaves I'll have no reason to pay attention to VS anymore.","VS"
"The best angel and mama ever! She is definitely  the definition of queen!","VS"
"You didn't give up?  Jesus Christ... you walk 40 meters and back every few months for a living and you sound like you were Ghandi when the biggest challenge you have in your life is taking too many compliments in one day...","VS"
"And this is how real supermodels look.","VS"
"feantestig waoooooooooo 👍","VS"
"Keep Going and never give up. <3 <3 you are amazing.","VS"
"I love her","VS"
"The best one by far.","VS"
"She is my role model, so strong and powerfull! Love her","VS"
"The best angel!","VS"
"Adriana deserves a super video, beyond 50 seconds.
Building a 20-year career as a model and ever increasing is not anyone who can.
Adriana is a very dedicated model giving herself completely to all her work.
Adriana is an explosive bomb! Adri ♥","VS"
"Adriana is sooooo sexy.I think she's the best angel ever.❤","VS"
"The Real Model , The Queen in VS and The Best Ever.","VS"
"The One and Only.","VS"
"My role model and inspiration <3","VS"
"Hail the QUEEN😍😍😘😘","VS"
"Now cause nepotism and famous parents unfortunately you can born in a long time career","VS"
"I would like to know the song of the video...","VS"
"my my inspiration!!!!! limaaa❤","VS"
"bow down to the queen.","VS"
"Honestly when I think of victoria secret I think Adriana Lima","VS"
"everyone is like ""kendall,gigi and bella never worked hard"" But what would you do if you had money and you were tall, skinny and rich","VS"
"this video gives me chills","VS"
"This is soo motivating, I love it. I feel as if she's talking to me","VS"
"Adriana is definitely the real deal.","VS"
"I love her SM she's freaking drop dead gorgeous and inspiring. Plus she's Latina like me SO YA YOU GO","VS"
"she is so beautiful","VS"
"This is incredible. What a masterpiece.","VS"
"what music is it?","VS"
"the best out of VS ever I was so inspired by watching this video","VS"
"She's amazing! 🙌🏼🙌🏼🙌🏼🙌🏼","VS"
"Tão linda *-*","VS"
"Lo único que saben hacer es dinero!!! 😂 😂 😂","VS"
"Maior representante do Brasil 😍❤ Brazil Love U","VS"
"I love her so fucking much","VS"
"I NEED FUCKING PROOF SHE FUCKING LOVED HIM ffs  (really can someone mention a good reason she married the guy she did?)","VS"
"She's the best of victoria's secret!","VS"
"This was the best one. She's amazing.","VS"
"QUEEN","VS"
"I really love her!!!  Humble, beautiful, funny, kind!!! A truly fighter 👊👊👊👊","VS"
"She's so inspirational! I love Adriana Lima!","VS"
"NOBODY can inspire me better than this woman in terms of lifestyle. I've seen Gisele, mesmerized by Naomi's walk, got enchanted by Karolina's sexiness, but ONLY Adriana made me ACTUALLY move and work out and be the best better of myself. For me that's the essence of Victoria's secret. Inspiring someone to be their best self. ❤️","VS"
"I hate that person who left her.","VS"
"a melhor !!!","VS"
"Woww you my beautiful Adri, you are going to be my inspiration for all my life ☺️♥️♥️","VS"
"Always my favorite !❤️❤️💓","VS"
"Remember seeing her when she first starting modeling and thought holy shit she's gorgeous. Yup that hasn't changed.","VS"
"""Other people can give up. But not you. Ever."" She actually made me cry. What a strong woman!","VS"
"so pretty!!!!!","VS"
"You should change the name of the brand! It's ADRIANA'S SECRET!!!","VS"
"Br","VS"
"at 0:12 she looks like a 20 something year old. 😮😮😮😮 she is stunning.","VS"
"Adriana worked so fucking hard to get where she is today. Kendall on the other hand, have not worked hard, she got to model for big designers like Karl Lagerfeld just beacause she is sister to the kardashians.. it sickening. Adriana work soooo hard while Kendall get everything served on a silver plate. Smh, there are sooo many amazing models out there who work their asses off to get to be well known. But they never get noticed or get anywhere. While Kendall, who look like any other average teenager, get so many fucking amazing modeling gigs. She wouldnt even be walking on the vs show if it wasn't for her family. That's for sure.","VS"
"she just breath taking and sweet ! that's why she on top !","VS"
"she is the angel !","VS"
"QUEEN! ❤❤❤","VS"
"El mensaje es realmente poderoso! thanks Adriana Lima 👑","VS"
"❤","VS"
"I can't imagine the VSFS without Adriana","VS"
"The royal model","VS"
"DONA DA VS!","VS"
"Song","VS"
"Omg Adriana you're amazing 😍","VS"
"Adriana is my favorite VS angel ever. For me she is the best angel ever. I can't imagine VS without her but I know that she will have to go soon. 😭😭😭","VS"
"she's the beating heart of victoria's secret. I wouldn't even want to watch any of the vs shows if she isn't there","VS"
"The show seems amazing after all!! congratulations you guys ✨","VS"
"Queen of VS! ❤","VS"
"Best Road to the runway video yet","VS"
"MY FAVOURITE GIRL","VS"
"35 years old , better looking than all younger new models ⚠","VS"
"wow she is amazing","VS"
"This should be their ad, so inspiring!","VS"
"Legend.","VS"
"Real angel ❤","VS"
"My Queen","VS"
"Unlike those shitty Instagram models (kendall, Gigi bella whatever) that had everything given to them, Adriana earned. And that's the difference. Forget about the likes. She is the heart and soul of VS, and it's funny how VS wants to have new faces and fresh Instagram models, they are NOTHING compared to Adriana's beauty and personally.","VS"
"the best","VS"
"Adriana is sexiest 🍒model in VS, in my opinion. She's a really ANGEL. I'm waiting HER on vsfs.","VS"
"Such an inspiration!","VS"
"💄BEAUTIFUL Adriana 👄","VS"
"Adriana LINDA Lima orgulho do Brasil, Go Adri Go.","VS"
"Queen","VS"
"Adrianna is my favorite","VS"
"Adriana should be give a 5 year contract","VS"
"I Wanna be a supermodel like her, be in the VSFS and be an angel, she's an inspiration. To Adriana, thanks, wow you're awesome I love you so much, don't forget me guys cuz I'm all the way up, I'm Isabella and I'm gonna be an angel of VS woooooo","VS"
"VS is Adriana, Adriana is VS","VS"
"Adriana Lima is what WAS what IS and will always BE the an inspiration to all of us. VICTORIA SECRET if u guys could hire her underage you MUST hire her even when shes OVER age because i see her so High. Like if life is possible for her and has no limits to its ends, i have hope for an average person","VS"
"lol they made this so dramatic","VS"
"number one vsfs angel and the most beautiful women and queen 👑🔱","VS"
"She made me cry, she is really an inspiration. Her determination shows a hard and strong woman!","VS"
"The way she bites her lip gives me goose bumps every time, and i don't even like girlsXD <3","VS"
"She has such a beautiful face! Exotic beauty!!","VS"
"SHE IS MY QUEEN.","VS"
"to me she will always be a Victoria Secret's Angel no matter what","VS"
"Why don't they give her the best outfit then","VS"
"this is one of the most inspirational video ever","VS"
"Hoping she open the show this year!! She's the best!!","VS"
"Queen Adri👸👸","VS"
"like","VS"
"THE MOTHERFUCKING QUEEN","VS"
"Honestly once she leaves I'll have no reason to pay attention to VS anymore.","VS"
"The best angel and mama ever! She is definitely  the definition of queen!","VS"
"You didn't give up?  Jesus Christ... you walk 40 meters and back every few months for a living and you sound like you were Ghandi when the biggest challenge you have in your life is taking too many compliments in one day...","VS"
"And this is how real supermodels look.","VS"
"feantestig waoooooooooo 👍","VS"
"Keep Going and never give up. <3 <3 you are amazing.","VS"
"I love her","VS"
"The best one by far.","VS"
"She is my role model, so strong and powerfull! Love her","VS"
"The best angel!","VS"
"Adriana deserves a super video, beyond 50 seconds.
Building a 20-year career as a model and ever increasing is not anyone who can.
Adriana is a very dedicated model giving herself completely to all her work.
Adriana is an explosive bomb! Adri ♥","VS"
"Adriana is sooooo sexy.I think she's the best angel ever.❤","VS"
"The Real Model , The Queen in VS and The Best Ever.","VS"
"The One and Only.","VS"
"Sara 💟💟","VS"
"The african in this show looks like black shit  and makes the show ugly","VS"
"Josephine looked sooo beautiful in her outfit, 2016 swarovski outfit was better than 2017 one","VS"
"Adriana tá tão acostumada","VS"
"It’s 2017 and I still wonder why they let Stella open bright night segment
Jas was wearing the FB not her and besides her walk was hideous, totally botched the turn","VS"
"OMG, La reacción de Stella me encantó 😍😂","VS"
"5his fitting and outfits were better than this year","VS"
"Adriana's reaction is really funny. I mean she opened so many segments and shows that when she hears she will open the segment, she doesn't have any exciting or joyful reaction.. but she realizes that this video will actually be posted in Youtube or whatever her mouth is open with full of surprise... :)","VS"
"Adriana should have gotten Josephine’s outfit that year. Smh. I still feel so bad looking at her outfit except she was the most captivating onstage so...she is absolutely gorgeous. Lais is too, god. And Jasmine tbh. I think in this video, these 3 are the prettiest, but Josephine’s outfit oh my god...also the Fantasy Bra of course.","VS"
"Josephines outfit should have been given to adriana","VS"
"I wanna see Adriana Lima opening the next show!! She slays!!!!","VS"
"My dream","VS"
"that fantasy bra sucks","VS"
"Adriana is not shocked after they told her that she will open a section. I mean, she had opened shows, wore fantasy bras. Its like a no big of a deal to her.","VS"
"nobody gives a fuck about vs .. anymore","VS"
"In the min. 2:36 stella looks like abbey lee kershaw, sara in the neon demond","VS"
"0:50 Who's that ??? And that costume 😍😍","VS"
"Can somebody honestly tell me why Kendall gets picked? She had zero attitude, just a skinny body and not an angel face. Give me candice, Adriana, Rosie, those women have personalities and ethereal beauty. And aren't cunty 😂","VS"
"I wish they would've added the wings to Martha's outfit that were on the sketch for it.","VS"
"taylor is TOO overrated","VS"
"i have the same bodies as them, and this makes me so confident","VS"
"When they told Adriana she was opening the section she was like: Been there done that...","VS"
"Lais Ribeiro is Beautiful","VS"
"where's Candice? :o","VS"
"What's the name of the blonde who kind of resembles Candice? Sorry, I don't know her name. The model at 2:15?","VS"
"OMG Jasmine Tookes, she is so stunning.","VS"
"i wish jordan wouldve opened the show or closed it with the fantasy bra","VS"
"2:05 when Stella found out that she would be opening a section. Her reaction is the most personality I've ever seen from her! 🙄","VS"
"Do you think I should wear your outfit maybe call in sick or something? 🌝","VS"
"You better be here in a couple of days or you won't be getting any sprinkles on your ice cream","VS"
"I love high maintenance women they are my favourite especially the hot ones who feel entitled 😉","VS"
"jasmine looks beyond beyond amazing","VS"
"Sara is so beautiful","VS"
"Lais is a god","VS"
"sometimes a good combination small elements is strong enough to overshadow the rest. Adriana latex peplum waist piece killed all those 1000s Swarovski crystals and wings for good","VS"
"Would someone please tell me the name of the song that playing in the background?","VS"
"I'm so shocked they gave Kendall wings...like, I get that they want her there for press, but her walk last year was so awkward and lack-luster. . She needs to earn her wings just like everyone else.","VS"
"Saw some photos and a video snippet from the fashion show.

1. While a lot are a rehash from previous shows, some of the outfits look good, especially that dragon wrapped around Elsa. Although I hope the outfits view well on the runway. Shame if it will be edited badly post production.
2. I couldn't care less who opens the show, but I would be really happy if it's Adriana, Elsa, or Lais.
2. Too much attention on Bella Hadid and The Weeknd. Couldn't care less if they are still dating or already broken up, but that had some touches of Anne V/Adam and Behati/Adam there.  In the after party, too much attention on the Hadid family as well. Ugh. Have to admit the silver train with sleeves on Bella is really, really nice (I love fabric trains and off shoulder sleeves!)
3. Doutzen Kroes and her husband Sunnery James went to see the show. Doutzen deserves to be on that runway but anyway, that ship sailed a long time ago.
4. I really,really miss Behati.
5. I have the same red bra that Kendall wore. Lais rocked that bra on the online store photos. On Kendall... meh
6. Maria Borges should be an Angel this 2017!
7. I couldn't care less about Jasmine and this year's Fantasy Bra. I don't like Jasmine's body, walk and poses either. Her runway turn is blah as well... BUT, she wore it better than Lily last year. Would have been really nicer if she posed a bit longer in the runway with Bruno Mars crooning 24K Magic in background.","VS"
"klossy is in the show this year isn't she???","VS"
"2:08 refrigerator","VS"
"gays do u know links where i can watch full show?","VS"
"💜💛💚💙","VS"
"the music of video is so amazing can i get it ?","VS"
"Adriana is THE best","VS"
"I'm hoping Behati gets the fantasy bra next year. And Lais the year afterwards","VS"
"The wings looks so amazing this year","VS"
"did u see what alessandra and lais wear! damn slay!!!","VS"
"Elsa's hair! <3","VS"
"me gustaria que hicieran un show o desfile en colombia","VS"
"don{t like the little wings","VS"
"Idk why VS isn't letting us know who opens this year like they usually do. I think Ale's gonna open the show this year. SHE NEEDS TO","VS"
"I love Stella with long hair 😍","VS"
"So that leaves Ale, Elsa, Martha, & Lais to open the show. Jo got Swarovski outfit but who knows, she has the chance to be chosen to open the show this year, and the Swarovski outfit could be her second outfit  in the Bright Night section","VS"
"Lias is literally STUNNING.","VS"
"Who`s opening the pink section ? Please tell me it is not one of these two bi... girls over rated Gigi or Kendall...","VS"
"The show isn't going to be the same without Candice and Behati since they are my favs and they are the models I look forward to seeing!","VS"
"Sophia is so f*cking annoying she is always loud n over the top, specially at 0:22, 0:51, 0:59 like wtf? she sounds like a goat in pain! 😑","VS"
"i wanna see Kardashian family walk on the runway! invie them please!","VS"
"Can anyone tell me if the vs fashion show is gonna be live on December 5th?","VS"
"lais body 👌👌👌👏👏😊👏","VS"
"martha's black and white boots dont really match with the outfit tbh😧","VS"
"Im so excited to watch the show! 🤗","VS"
"Will Taylor open  the VSFS?... someone said ""it's her first one ... ever"". It's not her first time opening a section, last year she opened the Pink section.","VS"
"Hey guys is it possible to be a part of this? how do you guys hire your design team or the photography team or any kind of job?","VS"
"Well, Adriana is pretty but maybe she needs a thinner waist and smile fix","VS"
"THIS VIDEO IS BETTER TAN THE CASTING ONE...","VS"
"the fantasy bra this year is freaking incredible, that outfit is to die for","VS"
"the fantasy bra outfit is beautiful! so much better than the fireworks one..","VS"
"OMG I can't wait for this year!!!!","VS"
"Stella opening a segment? Well that's gonna be boring","VS"
"Does anyone know the name of the song?","VS"
"I've noticed a lot of you don't like Adriana's outfit and thinks it sucks, well I highly disagree with you guys. Her look is very edgy and not on the commercial pretty side, that is why they gave it to her. Adriana has a very edgy strong look and she is able to pull these type of looks off with her eyes and bone structure! Adriana said herself that she likes edgy dark looks. I think that's why they always give her the edgy sharp looks because she likes it. she is not a girl that likes everything pretty!","VS"
"Candice just had a baby! How the hell does she do it ?","VS"
"I don't really like Lais' outfit","VS"
"BEHATI ?????????? <3 :/","VS"
"I see there are couple of rumors saying Elsa will open the show.I personally don't want her to!I don't get the hype about this girl at all.I really really really really pray Ale will open the show because damn,she has been in VS for 16 years and she has opened only once.And tbh,her opening back in 2009 was perfect,energetic and sexy!I am going to be disappointed if a NA open the show.They got way too many chances to shine this year while the older angels have been paid dust by VS.","VS"
"Adriana might not have the best outfit but damn she looks better than every other model with better outfits. Her body wow...","VS"
"I would love to see VS do something different with the hair. Like straighten the hair. It always looks the same.","VS"
"1:58 I felt that Adriana surprised about opening a section! She thought she might open the fashion show. Actually we do. Too long vsfs for seeing a perfect opening. Adriana is the show. Give it to ADRIANA!","VS"
"Strong rumors that Elsa will open the show.
Adriana will open Secret Angel and Sara close.
Lily will open Mountain Romance and Romee close.
Taylor will open Dark Angels.
Stella and Jasmine opens/closes Bright night Angel.

This is not 100% confirmed!","VS"
"Adriana needs MASSIVE wings, what the hell are these?!","VS"
"I hope Alessandra will open the show in this year.She deserves it more than everyone.","VS"
"lais deserves better i love her.","VS"
"Josephine is literally soo beautiful in this Swarovski outfit😍 Lais has a killer bombshell body and Adriana is the queen as always👑","VS"
"i feel bad for adriana, its okay u r the best!! u already get 3 fantasy bras and i always support u even when u r wearing a bad outfit this year","VS"
"Do you think VS is going to surprise us in the runway with Candice and Behati? 
Hope so! 
Creeis que VS nos va a sorprender en el desfile con Behati y Candice? 
Ojalaaaa son mis favoritas junto con Lily","VS"
"I think that it's a shame that they gave Adriana THIS outfit.","VS"
"So basically 
Elsa may have a very high chance to open the show with The Road Ahead. And I saw Ale's outfit is number 2 or 3 on the fitting board so Ale may not be closing the segment.
Lily A is opening Mountain Romance and Romee is closing it.
Taylor is opening Dark Angels
Adriana is opening Secret Angels and Sara is closing it
Stella is opening the final segment and Jasmine is closing it with the fantasy bra. 

A lot of fans are joking that Ale will be opening PINK section this year LOL","VS"
"no opening section for behati and candice this year. kinda sad.","VS"
"Does somebody know the song used?","VS"
"Lais doesn't looks happy  at all!!  Totally unfair for her... She deserves way better","VS"
"Thank God that Adriana is still here..","VS"
"What they are doing with all the wings after the show over?","VS"
"I'm so happy for Jasmin she deserves to wear the fantasy bra😊","VS"
"I've watched the VS Fashion show for years and... Why are these girls stick-thin this year? They usually have some curves and muscle... But this year they all look malnourished.","VS"
"Adriana opening and Alessandra closing the VSFS 🙌🏻 that is my dream?","VS"
"Lais and Elsa have been with y'all the longest out of all the new angels and yet they aren't opening anything...sad cause one is a bombshell while the other has such a great personality! Shane that neither are getting recognized","VS"
"stella is so pretty","VS"
"ESTE AÑO ESTA DISEÑADO PARA Q SE LUZCA ALESSANDRA AMBROSSIO COMO NUNCA.","VS"
"Am I the only one who loves Adriana 's outfit.?
I really like the mix of colors and how they look at it <3","VS"
"Sara 💟💟","VS"
"The african in this show looks like black shit  and makes the show ugly","VS"
"Josephine looked sooo beautiful in her outfit, 2016 swarovski outfit was better than 2017 one","VS"
"Adriana tá tão acostumada","VS"
"It’s 2017 and I still wonder why they let Stella open bright night segment
Jas was wearing the FB not her and besides her walk was hideous, totally botched the turn","VS"
"OMG, La reacción de Stella me encantó 😍😂","VS"
"5his fitting and outfits were better than this year","VS"
"Adriana's reaction is really funny. I mean she opened so many segments and shows that when she hears she will open the segment, she doesn't have any exciting or joyful reaction.. but she realizes that this video will actually be posted in Youtube or whatever her mouth is open with full of surprise... :)","VS"
"Adriana should have gotten Josephine’s outfit that year. Smh. I still feel so bad looking at her outfit except she was the most captivating onstage so...she is absolutely gorgeous. Lais is too, god. And Jasmine tbh. I think in this video, these 3 are the prettiest, but Josephine’s outfit oh my god...also the Fantasy Bra of course.","VS"
"Josephines outfit should have been given to adriana","VS"
"I wanna see Adriana Lima opening the next show!! She slays!!!!","VS"
"My dream","VS"
"that fantasy bra sucks","VS"
"Adriana is not shocked after they told her that she will open a section. I mean, she had opened shows, wore fantasy bras. Its like a no big of a deal to her.","VS"
"nobody gives a fuck about vs .. anymore","VS"
"In the min. 2:36 stella looks like abbey lee kershaw, sara in the neon demond","VS"
"0:50 Who's that ??? And that costume 😍😍","VS"
"Can somebody honestly tell me why Kendall gets picked? She had zero attitude, just a skinny body and not an angel face. Give me candice, Adriana, Rosie, those women have personalities and ethereal beauty. And aren't cunty 😂","VS"
"I wish they would've added the wings to Martha's outfit that were on the sketch for it.","VS"
"taylor is TOO overrated","VS"
"i have the same bodies as them, and this makes me so confident","VS"
"When they told Adriana she was opening the section she was like: Been there done that...","VS"
"Lais Ribeiro is Beautiful","VS"
"where's Candice? :o","VS"
"What's the name of the blonde who kind of resembles Candice? Sorry, I don't know her name. The model at 2:15?","VS"
"OMG Jasmine Tookes, she is so stunning.","VS"
"i wish jordan wouldve opened the show or closed it with the fantasy bra","VS"
"2:05 when Stella found out that she would be opening a section. Her reaction is the most personality I've ever seen from her! 🙄","VS"
"Do you think I should wear your outfit maybe call in sick or something? 🌝","VS"
"You better be here in a couple of days or you won't be getting any sprinkles on your ice cream","VS"
"I love high maintenance women they are my favourite especially the hot ones who feel entitled 😉","VS"
"jasmine looks beyond beyond amazing","VS"
"Sara is so beautiful","VS"
"Lais is a god","VS"
"sometimes a good combination small elements is strong enough to overshadow the rest. Adriana latex peplum waist piece killed all those 1000s Swarovski crystals and wings for good","VS"
"Would someone please tell me the name of the song that playing in the background?","VS"
"I'm so shocked they gave Kendall wings...like, I get that they want her there for press, but her walk last year was so awkward and lack-luster. . She needs to earn her wings just like everyone else.","VS"
"Saw some photos and a video snippet from the fashion show.

1. While a lot are a rehash from previous shows, some of the outfits look good, especially that dragon wrapped around Elsa. Although I hope the outfits view well on the runway. Shame if it will be edited badly post production.
2. I couldn't care less who opens the show, but I would be really happy if it's Adriana, Elsa, or Lais.
2. Too much attention on Bella Hadid and The Weeknd. Couldn't care less if they are still dating or already broken up, but that had some touches of Anne V/Adam and Behati/Adam there.  In the after party, too much attention on the Hadid family as well. Ugh. Have to admit the silver train with sleeves on Bella is really, really nice (I love fabric trains and off shoulder sleeves!)
3. Doutzen Kroes and her husband Sunnery James went to see the show. Doutzen deserves to be on that runway but anyway, that ship sailed a long time ago.
4. I really,really miss Behati.
5. I have the same red bra that Kendall wore. Lais rocked that bra on the online store photos. On Kendall... meh
6. Maria Borges should be an Angel this 2017!
7. I couldn't care less about Jasmine and this year's Fantasy Bra. I don't like Jasmine's body, walk and poses either. Her runway turn is blah as well... BUT, she wore it better than Lily last year. Would have been really nicer if she posed a bit longer in the runway with Bruno Mars crooning 24K Magic in background.","VS"
"klossy is in the show this year isn't she???","VS"
"2:08 refrigerator","VS"
"gays do u know links where i can watch full show?","VS"
"💜💛💚💙","VS"
"the music of video is so amazing can i get it ?","VS"
"Adriana is THE best","VS"
"I'm hoping Behati gets the fantasy bra next year. And Lais the year afterwards","VS"
"The wings looks so amazing this year","VS"
"did u see what alessandra and lais wear! damn slay!!!","VS"
"Elsa's hair! <3","VS"
"me gustaria que hicieran un show o desfile en colombia","VS"
"don{t like the little wings","VS"
"Idk why VS isn't letting us know who opens this year like they usually do. I think Ale's gonna open the show this year. SHE NEEDS TO","VS"
"I love Stella with long hair 😍","VS"
"So that leaves Ale, Elsa, Martha, & Lais to open the show. Jo got Swarovski outfit but who knows, she has the chance to be chosen to open the show this year, and the Swarovski outfit could be her second outfit  in the Bright Night section","VS"
"Lias is literally STUNNING.","VS"
"Who`s opening the pink section ? Please tell me it is not one of these two bi... girls over rated Gigi or Kendall...","VS"
"The show isn't going to be the same without Candice and Behati since they are my favs and they are the models I look forward to seeing!","VS"
"Sophia is so f*cking annoying she is always loud n over the top, specially at 0:22, 0:51, 0:59 like wtf? she sounds like a goat in pain! 😑","VS"
"i wanna see Kardashian family walk on the runway! invie them please!","VS"
"Can anyone tell me if the vs fashion show is gonna be live on December 5th?","VS"
"lais body 👌👌👌👏👏😊👏","VS"
"martha's black and white boots dont really match with the outfit tbh😧","VS"
"Im so excited to watch the show! 🤗","VS"
"Will Taylor open  the VSFS?... someone said ""it's her first one ... ever"". It's not her first time opening a section, last year she opened the Pink section.","VS"
"Hey guys is it possible to be a part of this? how do you guys hire your design team or the photography team or any kind of job?","VS"
"Well, Adriana is pretty but maybe she needs a thinner waist and smile fix","VS"
"THIS VIDEO IS BETTER TAN THE CASTING ONE...","VS"
"the fantasy bra this year is freaking incredible, that outfit is to die for","VS"
"the fantasy bra outfit is beautiful! so much better than the fireworks one..","VS"
"OMG I can't wait for this year!!!!","VS"
"Stella opening a segment? Well that's gonna be boring","VS"
"Does anyone know the name of the song?","VS"
"I've noticed a lot of you don't like Adriana's outfit and thinks it sucks, well I highly disagree with you guys. Her look is very edgy and not on the commercial pretty side, that is why they gave it to her. Adriana has a very edgy strong look and she is able to pull these type of looks off with her eyes and bone structure! Adriana said herself that she likes edgy dark looks. I think that's why they always give her the edgy sharp looks because she likes it. she is not a girl that likes everything pretty!","VS"
"Candice just had a baby! How the hell does she do it ?","VS"
"I don't really like Lais' outfit","VS"
"BEHATI ?????????? <3 :/","VS"
"I see there are couple of rumors saying Elsa will open the show.I personally don't want her to!I don't get the hype about this girl at all.I really really really really pray Ale will open the show because damn,she has been in VS for 16 years and she has opened only once.And tbh,her opening back in 2009 was perfect,energetic and sexy!I am going to be disappointed if a NA open the show.They got way too many chances to shine this year while the older angels have been paid dust by VS.","VS"
"Adriana might not have the best outfit but damn she looks better than every other model with better outfits. Her body wow...","VS"
"I would love to see VS do something different with the hair. Like straighten the hair. It always looks the same.","VS"
"1:58 I felt that Adriana surprised about opening a section! She thought she might open the fashion show. Actually we do. Too long vsfs for seeing a perfect opening. Adriana is the show. Give it to ADRIANA!","VS"
"Strong rumors that Elsa will open the show.
Adriana will open Secret Angel and Sara close.
Lily will open Mountain Romance and Romee close.
Taylor will open Dark Angels.
Stella and Jasmine opens/closes Bright night Angel.

This is not 100% confirmed!","VS"
"Adriana needs MASSIVE wings, what the hell are these?!","VS"
"I hope Alessandra will open the show in this year.She deserves it more than everyone.","VS"
"lais deserves better i love her.","VS"
"Josephine is literally soo beautiful in this Swarovski outfit😍 Lais has a killer bombshell body and Adriana is the queen as always👑","VS"
"i feel bad for adriana, its okay u r the best!! u already get 3 fantasy bras and i always support u even when u r wearing a bad outfit this year","VS"
"Do you think VS is going to surprise us in the runway with Candice and Behati? 
Hope so! 
Creeis que VS nos va a sorprender en el desfile con Behati y Candice? 
Ojalaaaa son mis favoritas junto con Lily","VS"
"I think that it's a shame that they gave Adriana THIS outfit.","VS"
"So basically 
Elsa may have a very high chance to open the show with The Road Ahead. And I saw Ale's outfit is number 2 or 3 on the fitting board so Ale may not be closing the segment.
Lily A is opening Mountain Romance and Romee is closing it.
Taylor is opening Dark Angels
Adriana is opening Secret Angels and Sara is closing it
Stella is opening the final segment and Jasmine is closing it with the fantasy bra. 

A lot of fans are joking that Ale will be opening PINK section this year LOL","VS"
"no opening section for behati and candice this year. kinda sad.","VS"
"Does somebody know the song used?","VS"
"Lais doesn't looks happy  at all!!  Totally unfair for her... She deserves way better","VS"
"Thank God that Adriana is still here..","VS"
"What they are doing with all the wings after the show over?","VS"
"I'm so happy for Jasmin she deserves to wear the fantasy bra😊","VS"
"I've watched the VS Fashion show for years and... Why are these girls stick-thin this year? They usually have some curves and muscle... But this year they all look malnourished.","VS"
"Adriana opening and Alessandra closing the VSFS 🙌🏻 that is my dream?","VS"
"Lais and Elsa have been with y'all the longest out of all the new angels and yet they aren't opening anything...sad cause one is a bombshell while the other has such a great personality! Shane that neither are getting recognized","VS"
"stella is so pretty","VS"
"ESTE AÑO ESTA DISEÑADO PARA Q SE LUZCA ALESSANDRA AMBROSSIO COMO NUNCA.","VS"
"Am I the only one who loves Adriana 's outfit.?
I really like the mix of colors and how they look at it <3","VS"
"Why is she so hot","VS"
"I love you, Tay","VS"
"Taylor's birthday was march 5 and me too","VS"
"Anybody can say what the background music is ?","VS"
"MY FAVORITE !","VS"
"x","VS"
"victoria' s secret","VS"
"she's pretty but her walk is weird","VS"
"Am I the only one who thinks she looks EXACTLY like Sara?","VS"
"Taylor the best!!!","VS"
"Alguien me traduce que dijo?","VS"
"Lot lo we go we gone thank you we zone Kenya on we gone thank you we gay of the way we lay lot lo we go we gone of the say we on thank you we gone of the way we go we gay of the say we lay lot lo we go we gone of the way we say thank you we gay of the way Taylor we go we gone of the say we on thank you at lay Sara at gay we lo we go we gone of the say we on Sampaio of the way we lay lot lo we go we gone Hill we zone thank you at way of the lay we lo lot lay go we gone of the say we on Soma at lay biracial at way of the lay we lo we go we gone of the say we on thank you we gone Kenya on we zone thank you we gay of the way we lay lot lo we go we gone of the say we on Kenya gone.","VS"
"0:22, Right side, Who is she? I want to know her name.","VS"
"I don't even know why (please don't hate me) but I feel like Taylor is really snobby & not nice at all, fake almost-  that's just the vibe she gives off to me, not trying to be rude or anything just my opinion ❤️","VS"
"Someone tell why they have to look like sticks  why won't they have a plus size line that's not fair","VS"
"Eres la mejor taylor💕","VS"
"she is life 😍😍😚","VS"
"""american flag""

i'm done.AMERICA HAS A FLAG?","VS"
"SHE IS MY FAVORITE","VS"
"One of my favorite angels. She can be successful in a model career as a very young age.","VS"
"Taylor my heart 😍🙂😍🙂","VS"
"shes my fav vs angel","VS"
"When you gone let me be the youngest pimp on the team girls?","VS"
"Taylor Hill is the perfect woman wow! She is so gorgeous, the most beautiful VS angel ever!","VS"
"Does anyone know if I will be able to watch the show in the U.K. ???","VS"
